% Copyright (C) 2001-2018 Artifex Software, Inc.
% All Rights Reserved.
%
% This software is provided AS-IS with no warranty, either express or
% implied.
%
% This software is distributed under license and may not be copied,
% modified or distributed except as expressly authorized under the terms
% of the license contained in the file LICENSE in this distribution.
%
% Refer to licensing information at http://www.artifex.com or contact
% Artifex Software, Inc.,  1305 Grant Avenue - Suite 200, Novato,
% CA 94945, U.S.A., +1(415)492-9861, for further information.
%
%
% Unicode Decoding
% Maps PS and TT names to Unicode UTF-16.

% The file is in tabular format, with columns separated by exactly 2 spaces.
% The 1st column is the Unicode value assigned to all names in that row.
% The other columns contain glyph names based on the source these names
% came from; if a column contains more than 1 name, these are separated by
% exactly one space. So, WHITESPACE IS SIGNIFICANT (for documenting/editing purposes).
%
% The sources of glyph names in the current version of this file are, in column order:
%
% [AGLFN] Adobe Glyph List For New Fonts v1.7 dated November 6, 2008
%         http://www.adobe.com/devnet-archive/opentype/archives/aglfn.txt
% [AGLv2] Adobe Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/glyphlist.txt
%         - this list is a strict superset of [AGLFN], and only names that are not
%           already in [AGLFN] are present in this column.
%         - mappings to sequences of UVs (decomposed ligatures) are
%           commented out with a "%L#" at the beginning of the line.
% [ZDGL2] ITC Zapf Dingbats Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/zapfdingbats.txt
% [R9887] All names that were present in SVN revision 9887 of this file and
%         are not included in any of the lists above.
%
%/Unicode         % resource name
%6514             % # of names
%/ParseDecoding /ProcSet findresource /Parse get exec
%
16#0000        .null NUL
16#06F3    threepersian    extendedarabicindicdigitthree
16#06F4    fourpersian    extendedarabicindicdigitfour
16#06F5    fivepersian    extendedarabicindicdigitfive
16#06F6    sixpersian    extendedarabicindicdigitsix
16#06F7    sevenpersian    extendedarabicindicdigitseven
16#06F8    eightpersian    extendedarabicindicdigiteight
16#06F9    ninepersian    extendedarabicindicdigitnine
16#0901    candrabindudeva
16#0902    anusvaradeva
16#0903    visargadeva
16#0905    adeva
16#0906    aadeva
16#0907    ideva
16#0908    iideva
16#0909    udeva
16#090A    uudeva
16#090B    rvocalicdeva
16#090C    lvocalicdeva
16#090D    ecandradeva
16#090E    eshortdeva
16#090F    edeva
16#0910    aideva
16#0911    ocandradeva
16#0912    oshortdeva
16#0913    odeva
16#0914    audeva
16#0915    kadeva
16#0916    khadeva
16#0917    gadeva
16#0918    ghadeva
16#0919    ngadeva
16#091A    cadeva
16#091B    chadeva
16#091C    jadeva
16#091D    jhadeva
16#091E    nyadeva
16#091F    ttadeva
16#0920    tthadeva
16#0921    ddadeva
16#0922    ddhadeva
16#0923    nnadeva
16#0924    tadeva
16#0925    thadeva
16#0926    dadeva
16#0927    dhadeva
16#0928    nadeva
16#0929    nnnadeva
16#092A    padeva
16#092B    phadeva
16#092C    badeva
16#092D    bhadeva
16#092E    madeva
16#092F    yadeva
16#0930    radeva
16#0931    rradeva
16#0932    ladeva
16#0933    lladeva
16#0934    llladeva
16#0935    vadeva
16#0936    shadeva
16#0937    ssadeva
16#0938    sadeva
16#0939    hadeva
16#093C    nuktadeva
16#093D    avagrahadeva
16#093E    aavowelsigndeva
16#093F    ivowelsigndeva
16#0940    iivowelsigndeva
16#0941    uvowelsigndeva
16#0942    uuvowelsigndeva
16#0943    rvocalicvowelsigndeva
16#0944    rrvocalicvowelsigndeva
16#0945    ecandravowelsigndeva
16#0946    eshortvowelsigndeva
16#0947    evowelsigndeva
16#0948    aivowelsigndeva
16#0949    ocandravowelsigndeva
16#094A    oshortvowelsigndeva
16#094B    ovowelsigndeva
16#094C    auvowelsigndeva
16#094D    viramadeva
16#0950    omdeva
16#0951    udattadeva
16#0952    anudattadeva
16#0953    gravedeva
16#0954    acutedeva
16#0958    qadeva
16#0959    khhadeva
16#095A    ghhadeva
16#095B    zadeva
16#095C    dddhadeva
16#095D    rhadeva
16#095E    fadeva
16#095F    yyadeva
16#0960    rrvocalicdeva
16#0961    llvocalicdeva
16#0962    lvocalicvowelsigndeva
16#0963    llvocalicvowelsigndeva
16#0964    danda
16#0965    dbldanda
16#0966    zerodeva
16#0967    onedeva
16#0968    twodeva
16#0969    threedeva
16#096A    fourdeva
16#096B    fivedeva
16#096C    sixdeva
16#096D    sevendeva
16#096E    eightdeva
16#096F    ninedeva
16#0970    abbreviationsigndeva
16#0981    candrabindubengali
16#0982    anusvarabengali
16#0983    visargabengali
16#0985    abengali
16#0986    aabengali
16#0987    ibengali
16#0988    iibengali
16#0989    ubengali
16#098A    uubengali
16#098B    rvocalicbengali
16#098C    lvocalicbengali
16#098F    ebengali
16#0990    aibengali
16#0993    obengali
16#0994    aubengali
16#0995    kabengali
16#0996    khabengali
16#0997    gabengali
16#0998    ghabengali
16#0999    ngabengali
16#099A    cabengali
16#099B    chabengali
16#099C    jabengali
16#099D    jhabengali
16#099E    nyabengali
16#099F    ttabengali
16#09A0    tthabengali
16#09A1    ddabengali
16#09A2    ddhabengali
16#09A3    nnabengali
16#09A4    tabengali
16#09A5    thabengali
16#09A6    dabengali
16#09A7    dhabengali
16#09A8    nabengali
16#09AA    pabengali
16#09AB    phabengali
16#09AC    babengali
16#09AD    bhabengali
16#09AE    mabengali
16#09AF    yabengali
16#09B0    rabengali
16#09B2    labengali
16#09B6    shabengali
16#09B7    ssabengali
16#09B8    sabengali
16#09B9    habengali
16#09BC    nuktabengali
16#09BE    aavowelsignbengali
16#09BF    ivowelsignbengali
16#09C0    iivowelsignbengali
16#09C1    uvowelsignbengali
16#09C2    uuvowelsignbengali
16#09C3    rvocalicvowelsignbengali
16#09C4    rrvocalicvowelsignbengali
16#09C7    evowelsignbengali
16#09C8    aivowelsignbengali
16#09CB    ovowelsignbengali
16#09CC    auvowelsignbengali
16#09CD    viramabengali
16#09D7    aulengthmarkbengali
16#09DC    rrabengali
16#09DD    rhabengali
16#09DF    yyabengali
16#09E0    rrvocalicbengali
16#09E1    llvocalicbengali
16#09E2    lvocalicvowelsignbengali
16#09E3    llvocalicvowelsignbengali
16#09E6    zerobengali
16#09E7    onebengali
16#09E8    twobengali
16#09E9    threebengali
16#09EA    fourbengali
16#09EB    fivebengali
16#09EC    sixbengali
16#09ED    sevenbengali
16#09EE    eightbengali
16#09EF    ninebengali
16#09F0    ramiddlediagonalbengali
16#09F1    ralowerdiagonalbengali
16#09F2    rupeemarkbengali
16#09F3    rupeesignbengali
16#09F4    onenumeratorbengali
16#09F5    twonumeratorbengali
16#09F6    threenumeratorbengali
16#09F7    fournumeratorbengali
16#09F8    denominatorminusonenumeratorbengali
16#09F9    sixteencurrencydenominatorbengali
16#09FA    issharbengali
16#0A02    bindigurmukhi
16#0A05    agurmukhi
16#0A06    aagurmukhi
16#0A07    igurmukhi
16#0A08    iigurmukhi
16#0A09    ugurmukhi
16#0A0A    uugurmukhi
16#0A0F    eegurmukhi
16#0A10    aigurmukhi
16#0A13    oogurmukhi
16#0A14    augurmukhi
16#0A15    kagurmukhi
16#0A16    khagurmukhi
16#0A17    gagurmukhi
16#0A18    ghagurmukhi
16#0A19    ngagurmukhi
16#0A1A    cagurmukhi
16#0A1B    chagurmukhi
16#0A1C    jagurmukhi
16#0A1D    jhagurmukhi
16#0A1E    nyagurmukhi
16#0A1F    ttagurmukhi
16#0A20    tthagurmukhi
16#0A21    ddagurmukhi
16#0A22    ddhagurmukhi
16#0A23    nnagurmukhi
16#0A24    tagurmukhi
16#0A25    thagurmukhi
16#0A26    dagurmukhi
16#0A27    dhagurmukhi
16#0A28    nagurmukhi
16#0A2A    pagurmukhi
16#0A2B    phagurmukhi
16#0A2C    bagurmukhi
16#0A2D    bhagurmukhi
16#0A2E    magurmukhi
16#0A2F    yagurmukhi
16#0A30    ragurmukhi
16#0A32    lagurmukhi
16#0A35    vagurmukhi
16#0A36    shagurmukhi
16#0A38    sagurmukhi
16#0A39    hagurmukhi
16#0A3C    nuktagurmukhi
16#0A3E    aamatragurmukhi
16#0A3F    imatragurmukhi
16#0A40    iimatragurmukhi
16#0A41    umatragurmukhi
16#0A42    uumatragurmukhi
16#0A47    eematragurmukhi
16#0A48    aimatragurmukhi
16#0A4B    oomatragurmukhi
16#0A4C    aumatragurmukhi
16#0A4D    halantgurmukhi
16#0A59    khhagurmukhi
16#0A5A    ghhagurmukhi
16#0A5B    zagurmukhi
16#0A5C    rragurmukhi
16#0A5E    fagurmukhi
16#0A66    zerogurmukhi
16#0A67    onegurmukhi
16#0A68    twogurmukhi
16#0A69    threegurmukhi
16#0A6A    fourgurmukhi
16#0A6B    fivegurmukhi
16#0A6C    sixgurmukhi
16#0A6D    sevengurmukhi
16#0A6E    eightgurmukhi
16#0A6F    ninegurmukhi
16#0A70    tippigurmukhi
16#0A71    addakgurmukhi
16#0A72    irigurmukhi
16#0A73    uragurmukhi
16#0A74    ekonkargurmukhi
16#0A81    candrabindugujarati
16#0A82    anusvaragujarati
16#0A83    visargagujarati
16#0A85    agujarati
16#0A86    aagujarati
16#0A87    igujarati
16#0A88    iigujarati
16#0A89    ugujarati
16#0A8A    uugujarati
16#0A8B    rvocalicgujarati
16#0A8D    ecandragujarati
16#0A8F    egujarati
16#0A90    aigujarati
16#0A91    ocandragujarati
16#0A93    ogujarati
16#0A94    augujarati
16#0A95    kagujarati
16#0A96    khagujarati
16#0A97    gagujarati
16#0A98    ghagujarati
16#0A99    ngagujarati
16#0A9A    cagujarati
16#0A9B    chagujarati
16#0A9C    jagujarati
16#0A9D    jhagujarati
16#0A9E    nyagujarati
16#0A9F    ttagujarati
16#0AA0    tthagujarati
16#0AA1    ddagujarati
16#0AA2    ddhagujarati
16#0AA3    nnagujarati
16#0AA4    tagujarati
16#0AA5    thagujarati
16#0AA6    dagujarati
16#0AA7    dhagujarati
16#0AA8    nagujarati
16#0AAA    pagujarati
16#0AAB    phagujarati
16#0AAC    bagujarati
16#0AAD    bhagujarati
16#0AAE    magujarati
16#0AAF    yagujarati
16#0AB0    ragujarati
16#0AB2    lagujarati
16#0AB3    llagujarati
16#0AB5    vagujarati
16#0AB6    shagujarati
16#0AB7    ssagujarati
16#0AB8    sagujarati
16#0AB9    hagujarati
16#0ABC    nuktagujarati
16#0ABE    aavowelsigngujarati
16#0ABF    ivowelsigngujarati
16#0AC0    iivowelsigngujarati
16#0AC1    uvowelsigngujarati
16#0AC2    uuvowelsigngujarati
16#0AC3    rvocalicvowelsigngujarati
16#0AC4    rrvocalicvowelsigngujarati
16#0AC5    ecandravowelsigngujarati
16#0AC7    evowelsigngujarati
16#0AC8    aivowelsigngujarati
16#0AC9    ocandravowelsigngujarati
16#0ACB    ovowelsigngujarati
16#0ACC    auvowelsigngujarati
16#0ACD    viramagujarati
16#0AD0    omgujarati
16#0AE0    rrvocalicgujarati
16#0AE6    zerogujarati
16#0AE7    onegujarati
16#0AE8    twogujarati
16#0AE9    threegujarati
16#0AEA    fourgujarati
16#0AEB    fivegujarati
16#0AEC    sixgujarati
16#0AED    sevengujarati
16#0AEE    eightgujarati
16#0AEF    ninegujarati
16#0E00        0.0
16#0E01    kokaithai    afii59681
16#0E02    khokhaithai    afii59682
16#0E03    khokhuatthai    afii59683
16#0E04    khokhwaithai    afii59684
16#0E05    khokhonthai    afii59685
16#0E06    khorakhangthai    afii59686
16#0E07    ngonguthai    afii59687
16#0E08    chochanthai    afii59688
16#0E09    chochingthai    afii59689
16#0E0A    chochangthai    afii59690
16#0E0B    sosothai    afii59691
16#0E0C    chochoethai    afii59692
16#0E0D    yoyingthai    afii59693
16#0E0E    dochadathai    afii59694
16#0E0F    topatakthai    afii59695
16#0E10    thothanthai    afii59696
16#0E11    thonangmonthothai    afii59697
16#0E12    thophuthaothai    afii59698
16#0E13    nonenthai    afii59699
16#0E14    dodekthai    afii59700
16#0E15    totaothai    afii59701
16#0E16    thothungthai    afii59702
16#0E17    thothahanthai    afii59703
16#0E18    thothongthai    afii59704
16#0E19    nonuthai    afii59705
16#0E1A    bobaimaithai    afii59706
16#0E1B    poplathai    afii59707
16#0E1C    phophungthai    afii59708
16#0E1D    fofathai    afii59709
16#0E1E    phophanthai    afii59710
16#0E1F    fofanthai    afii59711
16#0E20    phosamphaothai    afii59712
16#0E21    momathai    afii59713
16#0E22    yoyakthai    afii59714
16#0E23    roruathai    afii59715
16#0E24    ruthai    afii59716
16#0E25    lolingthai    afii59717
16#0E26    luthai    afii59718
16#0E27    wowaenthai    afii59719
16#0E28    sosalathai    afii59720
16#0E29    sorusithai    afii59721
16#0E2A    sosuathai    afii59722
16#0E2B    hohipthai    afii59723
16#0E2C    lochulathai    afii59724
16#0E2D    oangthai    afii59725
16#0E2E    honokhukthai    afii59726
16#0E2F    paiyannoithai    afii59727
16#0E30    saraathai    afii59729
16#0E31    maihanakatthai    afii59728
16#0E32    saraaathai    afii59730
16#0E33    saraamthai    afii59731
16#0E34    saraithai    afii59732
16#0E35    saraiithai    afii59733
16#0E36    sarauethai    afii59734
16#0E37    saraueethai    afii59735
16#0E38    sarauthai    afii59736
16#0E39    sarauuthai    afii59737
16#0E3A    phinthuthai    afii59738
16#0E3F    bahtthai    afii59743
16#0E40    saraethai    afii59744
16#0E41    saraaethai    afii59745
16#0E42    saraothai    afii59746
16#0E43    saraaimaimuanthai    afii59747
16#0E44    saraaimaimalaithai    afii59748
16#0E45    lakkhangyaothai    afii59749
16#0E46    maiyamokthai    afii59750
16#0E47    maitaikhuthai    afii59751
16#0E48    maiekthai    afii59752
16#0E49    maithothai    afii59753
16#0E4A    maitrithai    afii59754
16#0E4B    maichattawathai    afii59755
16#0E4C    thanthakhatthai    afii59756
16#0E4D    nikhahitthai    afii59757
16#0E4E    yamakkanthai    afii59758
16#0E4F    fongmanthai    afii59759
16#0E50    zerothai    afii59760
16#0E51    onethai    afii59761
16#0E52    twothai    afii59762
16#0E53    threethai    afii59763
16#0E54    fourthai    afii59764
16#0E55    fivethai    afii59765
16#0E56    sixthai    afii59766
16#0E57    seventhai    afii59767
16#0E58    eightthai    afii59768
16#0E59    ninethai    afii59769
16#0E5A    angkhankhuthai    afii59770
16#0E5B    khomutthai    afii59771
16#1E00    Aringbelow
16#1E01    aringbelow
16#1E02    Bdotaccent
16#1E03    bdotaccent
16#1E04    Bdotbelow
16#1E05    bdotbelow
16#1E06    Blinebelow
16#1E07    blinebelow
16#1E08    Ccedillaacute
16#1E09    ccedillaacute
16#1E0A    Ddotaccent
16#1E0B    ddotaccent
16#1E0C    Ddotbelow
16#1E0D    ddotbelow
16#1E0E    Dlinebelow
16#1E0F    dlinebelow
16#1E10    Dcedilla
16#1E11    dcedilla
16#1E12    Dcircumflexbelow
16#1E13    dcircumflexbelow
16#1E14    Emacrongrave
16#1E15    emacrongrave
16#1E16    Emacronacute
16#1E17    emacronacute
16#1E18    Ecircumflexbelow
16#1E19    ecircumflexbelow
16#1E1A    Etildebelow
16#1E1B    etildebelow
16#1E1C    Ecedillabreve
16#1E1D    ecedillabreve
16#1E1E    Fdotaccent
16#1E1F    fdotaccent
16#1E20    Gmacron
16#1E21    gmacron
16#1E22    Hdotaccent
16#1E23    hdotaccent
16#1E24    Hdotbelow
16#1E25    hdotbelow
16#1E26    Hdieresis
16#1E27    hdieresis
16#1E28    Hcedilla
16#1E29    hcedilla
16#1E2A    Hbrevebelow
16#1E2B    hbrevebelow
16#1E2C    Itildebelow
16#1E2D    itildebelow
16#1E2E    Idieresisacute
16#1E2F    idieresisacute
16#1E30    Kacute
16#1E31    kacute
16#1E32    Kdotbelow
16#1E33    kdotbelow
16#1E34    Klinebelow
16#1E35    klinebelow
16#1E36    Ldotbelow
16#1E37    ldotbelow
16#1E38    Ldotbelowmacron
16#1E39    ldotbelowmacron
16#1E3A    Llinebelow
16#1E3B    llinebelow
16#1E3C    Lcircumflexbelow
16#1E3D    lcircumflexbelow
16#1E3E    Macute
16#1E3F    macute
16#1E40    Mdotaccent
16#1E41    mdotaccent
16#1E42    Mdotbelow
16#1E43    mdotbelow
16#1E44    Ndotaccent
16#1E45    ndotaccent
16#1E46    Ndotbelow
16#1E47    ndotbelow
16#1E48    Nlinebelow
16#1E49    nlinebelow
16#1E4A    Ncircumflexbelow
16#1E4B    ncircumflexbelow
16#1E4C    Otildeacute
16#1E4D    otildeacute
16#1E4E    Otildedieresis
16#1E4F    otildedieresis
16#1E50    Omacrongrave
16#1E51    omacrongrave
16#1E52    Omacronacute
16#1E53    omacronacute
16#1E54    Pacute
16#1E55    pacute
16#1E56    Pdotaccent
16#1E57    pdotaccent
16#1E58    Rdotaccent
16#1E59    rdotaccent
16#1E5A    Rdotbelow
16#1E5B    rdotbelow
16#1E5C    Rdotbelowmacron
16#1E5D    rdotbelowmacron
16#1E5E    Rlinebelow
16#1E5F    rlinebelow
16#1E60    Sdotaccent
16#1E61    sdotaccent
16#1E62    Sdotbelow
16#1E63    sdotbelow
16#1E64    Sacutedotaccent
16#1E65    sacutedotaccent
16#1E66    Scarondotaccent
16#1E67    scarondotaccent
16#1E68    Sdotbelowdotaccent
16#1E69    sdotbelowdotaccent
16#1E6A    Tdotaccent
16#1E6B    tdotaccent
16#1E6C    Tdotbelow
16#1E6D    tdotbelow
16#1E6E    Tlinebelow
16#1E6F    tlinebelow
16#1E70    Tcircumflexbelow
16#1E71    tcircumflexbelow
16#1E72    Udieresisbelow
16#1E73    udieresisbelow
16#1E74    Utildebelow
16#1E75    utildebelow
16#1E76    Ucircumflexbelow
16#1E77    ucircumflexbelow
16#1E78    Utildeacute
16#1E79    utildeacute
16#1E7A    Umacrondieresis
16#1E7B    umacrondieresis
16#1E7C    Vtilde
16#1E7D    vtilde
16#1E7E    Vdotbelow
16#1E7F    vdotbelow
16#1E80  Wgrave
16#1E81  wgrave
16#1E82  Wacute
16#1E83  wacute
16#1E84  Wdieresis
16#1E85  wdieresis
16#1E86    Wdotaccent
16#1E87    wdotaccent
16#1E88    Wdotbelow
16#1E89    wdotbelow
16#1E8A    Xdotaccent
16#1E8B    xdotaccent
16#1E8C    Xdieresis
16#1E8D    xdieresis
16#1E8E    Ydotaccent
16#1E8F    ydotaccent
16#1E90    Zcircumflex
16#1E91    zcircumflex
16#1E92    Zdotbelow
16#1E93    zdotbelow
16#1E94    Zlinebelow
16#1E95    zlinebelow
16#1E96    hlinebelow
16#1E97    tdieresis
16#1E98    wring
16#1E99    yring
16#1E9A    arighthalfring
16#1E9B    slongdotaccent
16#1EA0    Adotbelow
16#1EA1    adotbelow
16#1EA2    Ahookabove
16#1EA3    ahookabove
16#1EA4    Acircumflexacute
16#1EA5    acircumflexacute
16#1EA6    Acircumflexgrave
16#1EA7    acircumflexgrave
16#1EA8    Acircumflexhookabove
16#1EA9    acircumflexhookabove
16#1EAA    Acircumflextilde
16#1EAB    acircumflextilde
16#1EAC    Acircumflexdotbelow
16#1EAD    acircumflexdotbelow
16#1EAE    Abreveacute
16#1EAF    abreveacute
16#1EB0    Abrevegrave
16#1EB1    abrevegrave
16#1EB2    Abrevehookabove
16#1EB3    abrevehookabove
16#1EB4    Abrevetilde
16#1EB5    abrevetilde
16#1EB6    Abrevedotbelow
16#1EB7    abrevedotbelow
16#1EB8    Edotbelow
16#1EB9    edotbelow
16#1EBA    Ehookabove
16#1EBB    ehookabove
16#1EBC    Etilde
16#1EBD    etilde
16#1EBE    Ecircumflexacute
16#1EBF    ecircumflexacute
16#1EC0    Ecircumflexgrave
16#1EC1    ecircumflexgrave
16#1EC2    Ecircumflexhookabove
16#1EC3    ecircumflexhookabove
16#1EC4    Ecircumflextilde
16#1EC5    ecircumflextilde
16#1EC6    Ecircumflexdotbelow
16#1EC7    ecircumflexdotbelow
16#1EC8    Ihookabove
16#1EC9    ihookabove
16#1ECA    Idotbelow
16#1ECB    idotbelow
16#1ECC    Odotbelow
16#1ECD    odotbelow
16#1ECE    Ohookabove
16#1ECF    ohookabove
16#1ED0    Ocircumflexacute
16#1ED1    ocircumflexacute
16#1ED2    Ocircumflexgrave
16#1ED3    ocircumflexgrave
16#1ED4    Ocircumflexhookabove
16#1ED5    ocircumflexhookabove
16#1ED6    Ocircumflextilde
16#1ED7    ocircumflextilde
16#1ED8    Ocircumflexdotbelow
16#1ED9    ocircumflexdotbelow
16#1EDA    Ohornacute
16#1EDB    ohornacute
16#1EDC    Ohorngrave
16#1EDD    ohorngrave
16#1EDE    Ohornhookabove
16#1EDF    ohornhookabove
16#1EE0    Ohorntilde
16#1EE1    ohorntilde
16#1EE2    Ohorndotbelow
16#1EE3    ohorndotbelow
16#1EE4    Udotbelow
16#1EE5    udotbelow
16#1EE6    Uhookabove
16#1EE7    uhookabove
16#1EE8    Uhornacute
16#1EE9    uhornacute
16#1EEA    Uhorngrave
16#1EEB    uhorngrave
16#1EEC    Uhornhookabove
16#1EED    uhornhookabove
16#1EEE    Uhorntilde
16#1EEF    uhorntilde
16#1EF0    Uhorndotbelow
16#1EF1    uhorndotbelow
16#1EF2  Ygrave
16#1EF3  ygrave
16#1EF4    Ydotbelow
16#1EF5    ydotbelow
16#1EF6    Yhookabove
16#1EF7    yhookabove
16#1EF8    Ytilde
16#1EF9    ytilde
16#2000        enquad
16#2001        emquad
16#2002    enspace
16#2003        emspace
16#2004        threeperemspace
16#2005        fourperemspace
16#2006        sixperemspace
16#2007        figurespace
16#2008        punctuationspace
16#2009        thinspace
16#200A        hairspace
16#200B    zerowidthspace    zerospace
16#200C    afii61664 zerowidthnonjoiner    zeronojoin
16#200D    afii301    zerojoin
16#200E    afii299    lefttoright
16#200F    afii300    righttoleft
16#2010    hyphentwo    hyphen1
16#2011        hyphennobreak nbhyphen
16#2012  figuredash
16#2013  endash      SS680000
16#2014  emdash      SM900000
16#2015    afii00208 horizontalbar    longdash quotedash
16#2016    dblverticalbar    verticalbardbl vertlinedbl
16#2017  underscoredbl  dbllowline    SM100000
16#2018  quoteleft      SP190000 quotesinglleft
16#2019  quoteright      SP200000 quotesinglright
16#201A  quotesinglbase      SP260000
16#201B  quotereversed  quoteleftreversed    quotesinglrev
16#201C  quotedblleft      SP210000
16#201D  quotedblright      SP220000
16#201E  quotedblbase      SP230000
16#201F        quotedblrev
16#2020  dagger      SM340000
16#2021  daggerdbl      SM350000
16#2022  bullet      SM570000
16#2023        trianglebullet
16#2024  onedotenleader      onedotlead onedotleader
16#2025  twodotenleader  twodotleader    twodotlead
16#2026  ellipsis      SV520000
16#2027        hyphendot
16#2028        lineseparator
16#2029        paragraphseparator
16#202A        lre
16#202B        rle
16#202C    afii61573    pdf
16#202D    afii61574    lro
16#202E    afii61575    rlo
16#2030  perthousand      SM560000
16#2031        pertenthousand
16#2032  minute      prime1 prime
16#2033  second      primedbl1 primedbl
16#2034        primetripl1 primetripl
16#2035    primereversed    minuterev primerev1 primerev
16#2036        primedblrev1 primedblrev secondrev
16#2037        primetriplerev1 primetriplerev
16#2038        caret
16#2039  guilsinglleft      SP270000
16#203A  guilsinglright      SP280000
16#203B    referencemark    refmark
16#203C  exclamdbl      SP330000
16#203D        interrobang
16#203E    overline
16#203F        undertie
16#2040        tie tie1
16#2041        caretinsert
16#2042    asterism
16#2043        hyphenbullet
16#2044  fraction      fraction1
16#2045        bracketleftquill
16#2046        bracketrightquill
16#2070    zerosuperior
16#2074    foursuperior
16#2075    fivesuperior
16#2076    sixsuperior
16#2077    sevensuperior
16#2078    eightsuperior
16#2079    ninesuperior
16#207A    plussuperior
16#207B        minussuperior
16#207C    equalsuperior
16#207D    parenleftsuperior
16#207E    parenrightsuperior
16#207F    nsuperior    LN011000
16#2080    zeroinferior    zerosub
16#2081    oneinferior    onesub
16#2082    twoinferior    twosub
16#2083    threeinferior    threesub
16#2084    fourinferior    foursub
16#2085    fiveinferior    fivesub
16#2086    sixinferior    sixsub
16#2087    seveninferior    sevensub
16#2088    eightinferior    eightsub
16#2089    nineinferior    ninesub
16#208A        plussub plusinferior
16#208B        minussub minusinferior
16#208C        equalsub equalinferior
16#208D    parenleftinferior    parenleftsub
16#208E    parenrightinferior    parenrightsub
16#20A0        eurocurrency
16#20A1  colonmonetary  colonsign    coloncurrency Colonmonetary coloncur
16#20A2    cruzeiro
16#20A3  franc
16#20A4  lira  afii08941
16#20A5        mill
16#20A6        naira
16#20A7  peseta      SC060000 Pts pesetas
16#20A8        rupees rupee
16#20A9    won
16#20AA    afii57636 newsheqelsign sheqel sheqelhebrew    newsheqel
16#20AB  dong
16#20AC  Euro  euro
16#2100        accountof
16#2101        addresssubject
16#2102        Cbb Cdblstruck
16#2103    centigrade    degreecentigrade celsius
16#2104        centreline CL
16#2105    afii61248 careof
16#2106        cadauna
16#2107        Euler
16#2108        scruple
16#2109    fahrenheit    degreefarenheit degreefahrenheit farenheit
16#210A        gscriptmath
16#210B        Hscript
16#210C        Hfractur Hfraktur Hblackletter
16#210D        Hdblstruck Hbb
16#210E        planck
16#210F        planckover2pi
16#2110        Iscript
16#2111  Ifraktur      Ifractur Iblackletter
16#2112        Lscript
16#2113    afii61289 lsquare    lscript liter
16#2114        lbbar
16#2115        Ndblstruck Nbb
16#2116    afii61352 numero
16#2117        recordright soundcopyright
16#2118  weierstrass      Pscript
16#2119        Pdblstruck Pbb
16#211A        Qdblstruck Qbb
16#211B        Rscript
16#211C  Rfraktur      Rblackletter Rfractur
16#211D        Rdblstruck Rbb
16#211E  prescription      Rx
16#211F        response
16#2120        servicemark
16#2121    telephone    tel
16#2122  trademark      SM540000
16#2123        versicle
16#2124        Zbb Zdblstruck
16#2125        ounce
16#2126  Omega  Ohm    ohm
16#2127        Omegainv ohminverted mho
16#2128        Zfraktur Zblackletter Zfractur
16#2129        iotaturn
16#212A        kelvin degreekelvin
16#212B    angstrom
16#212C        Bscript
16#212D        Cblackletter Cfraktur Cfractur
16#212E  estimated
16#212F        escript
16#2130        Escript
16#2131        Fscript
16#2132        Fturn
16#2133        Mscript
16#2134        oscript 0script
16#2135  aleph      alephmath
16#2136        bethmath
16#2137        gimelmath
16#2138        dalethmath
16#2153  onethird
16#2154  twothirds
16#2155        onefifth
16#2156        twofifths
16#2157        threefifths
16#2158        fourfifths
16#2159        onesixth
16#215A        fivesixth
16#215B  oneeighth
16#215C  threeeighths
16#215D  fiveeighths
16#215E  seveneighths
16#2160    Oneroman
16#2161    Tworoman
16#2162    Threeroman
16#2163    Fourroman
16#2164    Fiveroman
16#2165    Sixroman
16#2166    Sevenroman
16#2167    Eightroman
16#2168    Nineroman
16#2169    Tenroman
16#216A    Elevenroman
16#216B    Twelveroman
16#2170    oneroman
16#2171    tworoman
16#2172    threeroman
16#2173    fourroman
16#2174    fiveroman
16#2175    sixroman
16#2176    sevenroman
16#2177    eightroman
16#2178    nineroman
16#2179    tenroman
16#217A    elevenroman
16#217B    twelveroman
16#2190  arrowleft
16#2191  arrowup
16#2192  arrowright    a161
16#2193  arrowdown
16#2194  arrowboth    a163
16#2195  arrowupdn    a164
16#2196    arrowupleft
16#2197    arrowupright
16#2198    arrowdownright
16#2199    arrowdownleft
16#21A8  arrowupdnbse  arrowupdownbase
16#21B4        arrowrightdown
16#21B5  carriagereturn      carriagerreturn
16#21B6        arrowsemanticlockw
16#21B7        arrowsemclockw
16#21B8        home
16#21B9        tableftright
16#21BA        arrowanticlockw
16#21BB        arrowclockw
16#21BC    harpoonleftbarbup    arrowlefttophalf
16#21BD        arrowleftbothalf
16#21BE        harpoonupright
16#21BF        harpoonupleft
16#21C0    harpoonrightbarbup    arrowrighttophalf
16#21C1        arrowrightbothalf
16#21C2        harpoondownright
16#21C3        harpoondownleft
16#21C4    arrowrightoverleft    arrowparrrightleft
16#21C5    arrowupleftofdown    dblarrowupdown
16#21C6    arrowleftoverright    arrowparrleftright
16#21C8        dblarrowup
16#21CA        dblarrowdown
16#21CB        harpoonleftright
16#21CC        harpoonrightleft
